chambres,prix,surface,titre,type_bien,ville
,6 200 DT, 1 200 m,Zone industriel el mghira 1200m²,Entrepôt,"Zone Industrielle El Meghira, Fouchana,..."
,3 000 DT, 148 m,Local bureautique, 4,"Sidi Daoud, La Marsa, Tunis"
,1 600 DT, 80 m,Au coeur de la marsa, 2,"Marsa Safsaf, La Marsa, Tunis"
,800 DT, 100 m,, Studio,"Sfax, Sfax Ville, Sfax"
,770 DT, 260 m,Terrain à soukra sidi frej,Terrain,"Sidi Frej, La Soukra, Ariana"
,570 DT, 347 m,Terrain à la soukra,Terrain,"Sidi Frej, La Soukra, Ariana"
,1 600 DT, 140 m,Appartement rayen   à l’année hammamet, 2,"Hammamet, Hammamet, Nabeul"
,1 050 DT, 43 m,S+1  - la marsa, Studio,"Cite El Khalil, La Marsa, Tunis"
,1 557 000 DT, 346 m,Terrain titre bleu bizerte  centre  ville,Terrain,131 avenue Habib Bourguiba
,900 DT, 100 m,"Bureau s+2  à lafayette, tunis.", 2,"Montplaisir, Bab Bhar, Tunis"
,850 DT, 1 416 m,Terrain,Terrain,"Cite Bou Mhel, Bou Mhel El Bassatine, Be..."
,10 DT, 254 m,À vendre : terrain de 254 m² – angle de deux rues,Terrain,"Dar Chaabane Plage, Dar Chaabane Elfehri..."
,20 000 DT, 1 100 m,"Immeuble de approx. 1100 m2 à usage de bureaux r+3, rue l...", 5 et +,"Berges Du Lac 1, La Marsa, Tunis"
,800 DT, 80 m,"Superbes appartements s+2 neufs à gremda km 7,5", 2,"Merkez Sahnoun, Sfax Sud, Sfax"
,580 DT, 147 m,Locale commerciale,Local,Route gremda km 4
,275 DT, 122 m,À vendre appartement s+3 la marsa, 4,"Sidi Daoud, La Marsa, Tunis"
,730 DT, 130 m,étage indépendant dans la résidence amana entre omrane su..., 3,"El Omrane Superieur, El Omrane Superieur..."
,450 DT, 150 m,Maison, 2,"Bou Mhel, Bou Mhel El Bassatine, Ben Aro..."
,350 DT, 45 m,Studio indépendant et meublé dans une cité calme et bien..., Studio,"El Omrane Superieur, El Omrane Superieur..."
,3 700 DT, 140 m,Bureau/local commercial haut standing, 3,"Berges du Lac 2, La Marsa, Tunis"
,140 000 DT, 73 m,À vendre – appartement s+2 à mourouj 5 – résidence soumay..., 2,"El Mourouj, El Mourouj, Ben Arous"
,1 300 000 DT, 10 000 m,Villa de charme à grombalia à 20 min de hammamet, 4,"Grombalia, Grombalia, Nabeul"
,2 700 DT, 10 m,Duplex s+3 avec jardin  à la marsa mdl0707, 3,"Sidi Daoud, La Marsa, Tunis"
,900 000 DT, 130 m,Local commercial de 130 m² À vendre – emplacement premium..., 3,"Ain Zaghouan Nord, La Marsa, Tunis en fa..."
,2 500 DT, 10 m,Appartement s+2 meublé  à la marsa mal3508, 2,"Marsa Safsaf, La Marsa, Tunis"
,3 000 DT, 10 m,Appartement s+2 meublé vue mer  à la marsa mal2002, 2,"Marsa Safsaf, La Marsa, Tunis"
,2 200 DT, 10 m,Appartement s+1 meublé  mal2040, Studio,"Jardins de Carthage, La Marsa, Tunis"
,2 000 DT, 10 m,Appartement meublé s+1   zal2908, Studio,"Jardins de Carthage, La Marsa, Tunis"
,3 900 DT, 10 m,Appartement s+3 meublé  à la marsa mal1202, 3,"Marsa Erriadh, La Marsa, Tunis"
,4 000 DT, 10 m,Appartement meublé s+3 lac 2 mal1030, 3,"Berges du Lac 2, La Marsa, Tunis"
